timestamp,open,high,low,close,volume
2019-08-26,41.4,41.65,40.98,41.36,31860000.0
2019-08-27,41.75,41.77,40.16,40.45,29150000.0
2019-08-28,40.15,40.84,39.75,40.3,25580000.0
2019-08-29,41.23,42.08,41.19,41.75,35840000.0
2019-08-30,42.22,42.72,41.7,41.88,29090000.0
2019-09-03,41.15,41.48,40.81,41.04,29650000.0
2019-09-04,41.65,42.27,41.65,42.19,22810000.0
2019-09-05,43.22,45.0,43.2,44.94,69650000.0
2019-09-06,44.7,45.27,44.28,44.66,37700000.0
2019-09-09,44.98,45.99,44.96,45.12,41750000.0
2019-09-10,44.8,46.06,44.7,45.8,35280000.0
2019-09-11,45.94,46.57,45.65,46.08,36150000.0
2019-09-12,46.55,47.1,45.99,46.07,32780000.0
2019-09-13,45.4,45.77,45.05,45.48,32460000.0
2019-09-16,44.73,45.4,44.62,45.05,23180000.0
2019-09-17,45.12,45.31,44.65,45.27,22850000.0
2019-09-18,45.2,45.35,44.12,44.99,26400000.0
2019-09-19,45.05,45.24,44.13,44.23,25630000.0
2019-09-20,44.23,44.46,43.07,43.17,35730000.0
2019-09-23,43.17,44.17,43.14,43.71,25580000.0
2019-09-24,44.02,44.32,42.77,43.13,32119999.999999996
2019-09-25,43.13,44.76,42.68,44.56,31310000.0
2019-09-26,44.46,44.55,43.82,44.34,23780000.0
2019-09-27,43.91,44.42,42.33,42.94,36600000.0
2019-09-30,43.2,43.62,42.89,43.52,19320000.0
2019-10-01,43.75,45.25,43.45,43.5,36760000.0
2019-10-02,43.28,43.4,42.53,43.26,29570000.0
2019-10-03,43.3,45.39,43.0,45.33,46270000.0
2019-10-04,45.35,45.79,44.7,45.49,26800000.0
2019-10-07,46.15,47.09,46.06,46.08,48830000.0
2019-10-08,45.16,45.16,44.12,44.31,44930000.0
2019-10-09,45.08,45.67,44.79,45.18,30790000.0
2019-10-10,45.16,46.27,45.1,45.76,32750000.0
2019-10-11,46.6,47.34,46.41,46.5,45090000.0
2019-10-14,46.41,46.84,46.1,46.63,21030000.0
2019-10-15,47.54,49.82,47.4,49.09,66800000.0
2019-10-16,48.75,49.8,48.44,48.55,43280000.0
2019-10-17,49.0,49.45,48.02,48.57,26430000.0
2019-10-18,48.58,48.91,46.88,47.62,30760000.0
2019-10-21,48.24,49.14,48.05,49.0,26700000.0
2019-10-22,49.58,50.63,48.83,48.9,33740000.0
2019-10-23,48.08,48.91,47.76,48.77,28580000.0
2019-10-24,49.19,49.55,48.84,49.22,23900000.0
2019-10-25,50.02,51.35,49.95,51.13,42310000.0
2019-10-28,51.58,52.23,51.28,51.7,33080000.0
2019-10-29,51.56,51.62,50.53,50.73,21120000.0
2019-10-30,51.0,51.06,50.06,50.75,20600000.0
2019-10-31,50.54,50.75,49.45,50.26,20970000.0
2019-11-01,49.9,50.97,49.65,50.65,28360000.0
2019-11-04,51.46,52.75,51.23,52.62,37670000.0
2019-11-05,52.62,52.88,51.92,52.4,30090000.0
2019-11-06,52.16,52.42,51.03,51.91,26900000.0
2019-11-07,52.78,52.92,51.63,52.09,28030000.0
2019-11-08,51.91,52.26,51.54,51.95,18940000.0
2019-11-11,51.94,52.28,51.07,52.05,24380000.0
2019-11-12,52.43,52.97,52.08,52.4,28380000.0
2019-11-13,52.09,52.37,51.48,52.14,30240000.0
2019-11-14,52.23,52.47,51.63,52.45,52700000.0
2019-11-15,52.42,52.94,50.16,51.05,105420000.0
